title,release_date,original_language,original_title,overview,tagline,genres,spoken_languages,keywords
You Must Be Joking,1965-08-03,en,You Must Be Joking,A motley group of soldiers are set loose on swinging England in an initiative test to collect a selection of esoteric items,It's a mad-mad whirl of a hunt for guys and gals and goodies!,Comedy,english,scavenger hunt
Hello Herman,2013-06-07,en,Hello Herman,"Set in the not so distant future, in Any Town USA, sixteen-years-old Herman Howards makes a fateful decision. He enters his suburban school and kills thirty nine students, two teachers, and a police officer. Just before his arrest, he emails his idol, famous journalist Lax Morales, sending him clips of the shootings captured with Herman's own digital camera. In the clips Herman tells Lax, ""I want to tell my story on your show"". Lax, haunted by his own past, is now face to face with Herman.",No One Just Becomes a Murderer,Drama,english,"prison, school shooting, woman director, school shooter, mass tragedy"
Urban Combat,2022-04-19,en,Urban Combat,"In order to earn enough money to pay his rent, a young martial artist must fight in a dangerous street fighting circle.","This isn't just combat, it's Urban Combat","Action, Comedy",English,"martial arts, underground fighting, taekwondo, student film"
Off The Tracks,2018-03-14,en,Off The Tracks,"In 2011 Apple ended Final Cut Pro as we knew it and started over with a brand new video editing application: Final Cut Pro X. The disruption this change caused is still being felt by the film, television, and video industries to this day.  With misinformation run amok, Off the Tracks is a documentary that aims to clear the air once and for all.  Featuring exclusive interviews with the creative professionals who use the software and the developers who created it. Why did Apple make Final Cut Pro X?",Change is Radical,Documentary,english,final cut pro
Bubbly Bubs,1999-01-01,en,Bubbly Bubs,"Based on extensive research into early childhood development, Bubbly Bubs captures the interest and attention of its young viewers and helps them easily learn simple songs.  This Bubbly Bubs video is a special compilation of babies and toddlers enjoying themselves as only they can.  The images are linked to specially arranged music accompanying well known nursery rhymes.  Give yourself a break as Bubbly Bubs entertains and calms your child.",The video that makes your baby happy.,"Family, Music",english,"compilation, nursery rhyme, toddler, kids music, babies"
Safety Not Guaranteed,2012-06-08,en,Safety Not Guaranteed,Three magazine employees head out on an assignment to interview a guy who placed a classified ad seeking a companion for time travel.,What would you go back for?,"Comedy, Romance, Science Fiction",english,"time travel, mumblecore"
"Scream, Queen! My Nightmare on Elm Street",2019-04-05,en,"Scream, Queen! My Nightmare on Elm Street","A retrospective look at A Nightmare on Elm Street Part 2: Freddy's Revenge (1985) and the life of its lead actor, Mark Patton.",The claws are out.,"Documentary, Horror",english,"homophobia, interview, reunion, hiv, behind the scenes, hollywood, lgbt, resentment, grudge, scream queen, 1980s, fan convention"
Sweet Dreams,2021-10-02,en,Sweet Dreams,"A boy is haunted by a spooky figure stalking him in the dark. This ghost story is inspired by childhood nightmares, aimed to build a creepy atmosphere with one or two jumpscares mixed in there.",What do you see in the DARK?,Horror,english,sleep
"I, Claude Monet",2017-02-14,en,"I, Claude Monet","From award-winning director Phil Grabsky comes this fresh new look at arguably the world’s favourite artist – through his own words.  Using letters and other private writings I, Claude Monet reveals new insight into the man who not only painted the picture that gave birth to impressionism but who was perhaps the most influential and successful painter of the 19th and early 20th centuries.  Despite this, and perhaps because of it, Monet’s life is a gripping tale about a man who, behind his sun-dazzled canvases, suffered from feelings of depression, loneliness, even suicide. Then, as his art developed and his love of gardening led to the glories of his garden at Giverney, his humour, insight and love of life is revealed.  Shot on location in Paris, London, Normandy and Venice I, Claude Monet is a cinematic immersion into some of the most loved and iconic scenes in Western Art.","""My head is bursting, I want to paint it all.""",Documentary,english,"narration, painting, biography, art, claude monet, impressionism"
Starting Over,1979-10-05,en,Starting Over,"After divorcing his ambitious singer wife, a middle-aged man begins a new relationship with a teacher.",He wants to straighten out his life.... one way or another,"Comedy, Romance",english,"boston, massachusetts, thanksgiving, blind date, romantic comedy, ex-wife"
Frequency,2000-04-28,en,Frequency,"When a rare phenomenon gives police officer John Sullivan the chance to speak to his father, 30 years in the past, he takes the opportunity to prevent his dad's tragic death.  After his actions inadvertently give rise to a series of brutal murders he and his father must find a way to fix the consequences of altering time.",The future is listening.,"Science Fiction, Thriller",english,"rescue, future, new york city, race against time, mother, escape, detective, baseball, investigation, time travel, radio, father, time, family relationships, paranormal, flashback, murder, explosion, criminal investigation, firefighter, phenomenon, amateur radio, aurora borealis, altering history"
We'll Meet Again,2002-11-17,en,We'll Meet Again,"Socialite Molly Lasch is released from prison after serving a six-year sentence for the murder of her husband, Dr. Gary Lasch. Now, with the help of Fran, an investigative reporter, Molly sets out to prove her innocence. Together they uncover a conspiracy of silence at the Lasch Medical Center and a shocking secret that could cost both women their lives.",There's no scandal murder can't erase.,"Drama, Thriller, Crime, Mystery",english,"prison, journalist, investigation, murder, socialite, investigative journalism, prison release, high school classmates, murder of husband"
This Must Be the Place,2011-08-24,en,This Must Be the Place,"A bored, retired rock star sets out to find his father's tormentor, an ex-Nazi war criminal who is a refugee in the U.S.",Never for money. Always for love.,Drama,"hebrew, english","rock 'n' roll, michigan, parent child relationship, new mexico, surrealism, dublin, ireland, relationship, ex-nazi, teen suicide, stock exchange"
There's That Woman Again,1938-12-24,en,There's That Woman Again,"Bill Reardon, a private detective, is working on a case involving stolen items from a local jewelry store. The case takes a different turn when Bill's prying wife wants to help catch the crook.",The year's dizziest...daffiest roundup of roars!,"Crime, Comedy",english,"robbery, husband wife relationship, jewelry, screwball comedy"
Man of Steel,2013-06-12,en,Man of Steel,"A young boy learns that he has extraordinary powers and is not of this earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind.",You will believe that a man can fly.,"Action, Adventure, Science Fiction",english,"saving the world, flying, hope, superhero, based on comic, alien planet, superhuman, alien invasion, super power, mysterious force, reboot, save the day, dc extended universe (dceu), save the planet, origin story, alien spaceship"
Pawn Sacrifice,2015-09-16,en,Pawn Sacrifice,American chess champion Bobby Fischer prepares for a legendary match-up against Russian Boris Spassky.,On the board he fought the Cold War. In his mind he fought his madness.,"Thriller, Drama","english, russian","chess, cold war, 1970s, victory, biography, chess champion, chess tournament, reykjavík, iceland"
The 100 Year-Old Man Who Climbed Out the Window and Disappeared,2013-12-25,sv,Hundraåringen som klev ut genom fönstret och försvann,"After living a long and colorful life, Allan Karlsson finds himself stuck in a nursing home. On his 100th birthday, he leaps out a window and begins an unexpected journey.","For a century he's made the world uncertain, and now he is on the loose again.","Adventure, Comedy, Drama","swedish, german, english, spanish, french, russian","escape, cold war, dark comedy, old man, nonlinear timeline, retirement home"
